Acquisition date,year,Google company,Business,Category,Country list,Price,Used as or integrated with
"August 15, 2010",2010,Like.com,Visual search engine,Search,USA,"$100,000,000",Google Shopping
"August 30, 2010",2010,Angstro,Social networking service,Social,USA,,"Google, Google Alert"
"August 30, 2010",2010,"SocialDeck, Inc.",Social gaming,Social,CAN,,"Google, Google+"
"September 13, 2010",2010,Quiksee,Online video,Maps,ISR,"$10,000,000",Google Maps
"September 28, 2010",2010,Plannr,Schedule management,Social,USA,,Google+
"October 1, 2010",2010,BlindType,Touch typing,Mobile,GRE,,Android
"December 3, 2010",2010,Phonetic Arts,Speech synthesis,AI,UK,,"Google Voice, Google Translate"
"December 3, 2010",2010,Widevine Technologies,DRM,Misc,USA,,Google TV
"January 13, 2011",2011,eBook Technologies,E-book,Misc,USA,,Google Books
"January 25, 2011",2011,SayNow,Voice recognition,AI,USA,,Google Voice
"March 1, 2011",2011,Zynamics,Security,Security,GER,,Project Zero (Google)
"March 7, 2011",2011,BeatThatQuote.com,Price comparison service,Offers,UK,"$65,000,000",Google Shopping
"March 7, 2011",2011,Next New Networks,Online video,Youtube,USA,,YouTube
"March 16, 2011",2011,Green Parrot Pictures,Digital video,Youtube,IRL,,YouTube
"April 8, 2011",2011,PushLife,Service provider,Mobile,CAN,"$25,000,000",Google Play
"April 12, 2011",2011,ITA Software,Travel technology,Misc,USA,"$676,000,000",Google Flights
"April 26, 2011",2011,TalkBin,Mobile software,Mobile,USA,,Android
"May 23, 2011",2011,Sparkbuy,Product search,Offers,USA,,Google Shopping
"June 3, 2011",2011,PostRank,Social media analytics service,Publishing,CAN,,Google+ Google Analytics
"June 9, 2011",2011,Admeld,Online advertising,Publishing,USA,"$400,000,000","DoubleClick, Invite Media"
"June 18, 2011",2011,SageTV,Media center,Mobile,USA,,"Google TV, Google Fiber, Android TV"
"July 8, 2011",2011,Punchd,Loyalty program,Offers,USA,,Google Offers
"July 21, 2011",2011,Fridge,Social groups,Social,USA,,Google+
"July 23, 2011",2011,PittPatt,Facial recognition system,Mobile,USA,,Android
"August 1, 2011",2011,Dealmap,One deal a day service,Offers,USA,,Google Offers
"August 15, 2011",2011,Motorola Mobility,Mobile device manufacturer,Mobile,USA,"$12,500,000,000","Android, Google TV, Android TV, Patent portfolio"
"September 7, 2011",2011,Zave Networks,Digital coupons,Offers,USA,,Google Offers
"September 8, 2011",2011,Zagat,Restaurant reviews,Maps,USA,"$151,000,000","Google Places, Google Maps"
"September 19, 2011",2011,DailyDeal,One deal a day service,Offers,GER,"$114,000,000",Google Offers
"October 11, 2011",2011,SocialGrapple,Social media analytics service,Publishing,CAN,,Google+ Google Analytics
"November 10, 2011",2011,Apture,Instantaneous search,Search,USA,,Google Search
"November 14, 2011",2011,Katango,Social circle organization,Social,USA,,Google+
"December 9, 2011",2011,RightsFlow,Music rights management,Youtube,USA,,YouTube
"December 13, 2011",2011,Clever Sense,Mobile apps,Mobile,USA,,Android
"March 16, 2012",2012,"Milk, Inc",Social networking service,Social,USA,,Google+
"April 2, 2012",2012,TxVia,Online Payment,Misc,USA,,"Google Wallet, Google Checkout"
"June 4, 2012",2012,Meebo,Instant Messaging,Communication,USA,"$100,000,000",Google Hangouts
"June 5, 2012",2012,Quickoffice,Productivity Suite,Communication,USA,,Google Docs
"July 20, 2012",2012,Sparrow,Mobile apps,Communication,FRA,"$25,000,000",Gmail
2012,2012,WIMM Labs,Android powered smartwatches,Mobile,USA,,Android
"August 1, 2012",2012,Wildfire Interactive,Social media marketing,Publishing,USA,"$450,000,000","Google, Google+"
"September 7, 2012",2012,VirusTotal.com,Security,Security,ESP,,
"September 17, 2012",2012,"Nik Software, Inc.",Photography,Mobile,USA,,"Google, Android"
"October 1, 2012",2012,Viewdle,Facial recognition,Mobile,UKR,"$45,000,000",Android
