Acquisition date,Google company,Business,Category,Country list,Price,Used as or integrated with,Refs
"August 5, 2010",Slide.com,Social gaming,Social,USA,"$228,000,000","Google+, Orkut, Google Play",[87]
"August 10, 2010",Jambool,Social Gold payment,Social,USA,"$70,000,000","Google+, Orkut",[88]
"August 15, 2010",Like.com,Visual search engine,Search,USA,"$100,000,000",Google Shopping,[89][90]
"August 30, 2010",Angstro,Social networking service,Social,USA,—,"Google, Google Alert",[91]
"August 30, 2010","SocialDeck, Inc.",Social gaming,Social,CAN,—,"Google, Google+",[92]
"September 13, 2010",Quiksee,Online video,Maps,ISR,"$10,000,000",Google Maps,[93]
"September 28, 2010",Plannr,Schedule management,Social,USA,—,Google+,[94][95]
"October 1, 2010",BlindType,Touch typing,Mobile,GRE,—,Android,[96][97]
"December 3, 2010",Phonetic Arts,Speech synthesis,AI,UK,—,"Google Voice, Google Translate",[98]
"December 3, 2010",Widevine Technologies,DRM,,USA,—,Google TV,[99]
"January 13, 2011",eBook Technologies,E-book,,USA,—,Google Books,[100]
"January 25, 2011",SayNow,Voice recognition,AI,USA,—,Google Voice,[101]
"March 1, 2011",Zynamics,Security,Security,GER,—,Project Zero (Google),[102][103]
"March 7, 2011",BeatThatQuote.com,Price comparison service,Offers,UK,"$65,000,000",Google Shopping,[104][105]
"March 7, 2011",Next New Networks,Online video,Youtube,USA,—,YouTube,[106]
"March 16, 2011",Green Parrot Pictures,Digital video,Youtube,IRL,—,YouTube,[107]
"April 8, 2011",PushLife,Service provider,Mobile,CAN,"$25,000,000",Google Play,[108]
"April 12, 2011 [109]",ITA Software,Travel technology,,USA,"$676,000,000",Google Flights,[110]
"April 26, 2011",TalkBin,Mobile software,Mobile,USA,—,Android,[111]
"May 23, 2011",Sparkbuy,Product search,Offers,USA,—,Google Shopping,[112]
"June 3, 2011",PostRank,Social media analytics service,Publishing,CAN,—,Google+ Google Analytics,[113]
"June 9, 2011",Admeld,Online advertising,Publishing,USA,"$400,000,000","DoubleClick, Invite Media",[114][115]
"June 18, 2011",SageTV,Media center,Mobile,USA,—,"Google TV, Google Fiber, Android TV",[116]
"July 8, 2011",Punchd,Loyalty program,Offers,USA,—,Google Offers,[117][118]
"July 21, 2011",Fridge,Social groups,Social,USA,—,Google+,[119]
"July 23, 2011",PittPatt,Facial recognition system,Mobile,USA,—,Android,[120][121]
"August 1, 2011",Dealmap,One deal a day service,Offers,USA,—,Google Offers,[122]
"August 15, 2011",Motorola Mobility,Mobile device manufacturer,Mobile,USA,"$12,500,000,000","Android, Google TV, Android TV, Patent portfolio",[123]
"September 7, 2011",Zave Networks,Digital coupons,Offers,USA,—,Google Offers,[124]
"September 8, 2011",Zagat,Restaurant reviews,Maps,USA,"$151,000,000","Google Places, Google Maps",[125][126][127]
"September 19, 2011",DailyDeal,One deal a day service,Offers,GER,"$114,000,000",Google Offers,[128]
"October 11, 2011",SocialGrapple,Social media analytics service,Publishing,CAN,—,Google+ Google Analytics,[129]
"November 10, 2011",Apture,Instantaneous search,Search,USA,—,Google Search,[130]
"November 14, 2011",Katango,Social circle organization,Social,USA,—,Google+,[131]
"December 9, 2011",RightsFlow,Music rights management,Youtube,USA,—,YouTube,[132]
"December 13, 2011",Clever Sense,Mobile apps,Mobile,USA,—,Android,[133]
