Acquisition date,year,Google company,Business,Category,Country list,Price,Used as or integrated with
11/9/2009,2009,AdMob,Mobile advertising,Publishing,USA,"$750,000,000","DoubleClick, Invite Media"
11/9/2009,2009,Gizmo5,Voice over IP,Communication,USA,"$30,000,000","Google Talk, Google Hangouts"
11/23/2009,2009,Teracent,Online advertising,Publishing,USA,,AdSense
12/4/2009,2009,AppJet,Collaborative real-time editor,Communication,USA,,"Google Wave, Google Docs"
2/12/2010,2010,Aardvark,Social search,Search,USA,"$50,000,000",Aardvark
2/17/2010,2010,reMail,Email search,Communication,USA,,Gmail
3/1/2010,2010,Picnik,Photo editing,Publishing,USA,,Picasa
3/5/2010,2010,DocVerse,Microsoft Office files sharing site,Communication,USA,"$25,000,000",Google Docs
4/2/2010,2010,Episodic,Online video platform start-up,Youtube,USA,,YouTube
4/12/2010,2010,PlinkArt,Visual search engine,Search,UK,,Google Goggles
4/20/2010,2010,Agnilux,Server CPUs,Mobile,USA,,Android
4/27/2010,2010,LabPixies,Gadgets,Mobile,ISR,,"iGoogle, Android"
4/30/2010,2010,BumpTop,Desktop environment,Mobile,CAN,"$30,000,000",Android
5/18/2010,2010,Global IP Solutions,Video and audio compression,Misc,USA,"$68,200,000",WebRTC
5/20/2010,2010,Simplify Media,Music streaming,Mobile,USA,,Android
5/21/2010,2010,Ruba.com,Travel,Misc,USA,,iGoogle
6/3/2010,2010,Invite Media,Advertising,Publishing,USA,"$81,000,000",DoubleClick
7/16/2010,2010,Metaweb,Semantic search,Search,USA,,Google Search
8/1/2010,2010,Zetawire,"Mobile payment, NFC",Mobile,CAN,,"Android, Google Wallet, Google Checkout"
8/4/2010,2010,Instantiations,Java/Eclipse/AJAX developer tools,Misc,USA,,Google Web Toolkit
8/5/2010,2010,Slide.com,Social gaming,Social,USA,"$228,000,000","Google+, Orkut, Google Play"
8/10/2010,2010,Jambool,Social Gold payment,Social,USA,"$70,000,000","Google+, Orkut"
8/15/2010,2010,Like.com,Visual search engine,Search,USA,"$100,000,000",Google Shopping
8/30/2010,2010,Angstro,Social networking service,Social,USA,,"Google, Google Alert"
8/30/2010,2010,"SocialDeck, Inc.",Social gaming,Social,CAN,,"Google, Google+"
9/13/2010,2010,Quiksee,Online video,Maps,ISR,"$10,000,000",Google Maps
9/28/2010,2010,Plannr,Schedule management,Social,USA,,Google+
10/1/2010,2010,BlindType,Touch typing,Mobile,GRE,,Android
12/3/2010,2010,Phonetic Arts,Speech synthesis,AI,UK,,"Google Voice, Google Translate"
12/3/2010,2010,Widevine Technologies,DRM,Misc,USA,,Google TV
1/13/2011,2011,eBook Technologies,E-book,Misc,USA,,Google Books
1/25/2011,2011,SayNow,Voice recognition,AI,USA,,Google Voice
3/1/2011,2011,Zynamics,Security,Security,GER,,Project Zero (Google)
3/7/2011,2011,BeatThatQuote.com,Price comparison service,Offers,UK,"$65,000,000",Google Shopping
3/7/2011,2011,Next New Networks,Online video,Youtube,USA,,YouTube
3/16/2011,2011,Green Parrot Pictures,Digital video,Youtube,IRL,,YouTube
4/8/2011,2011,PushLife,Service provider,Mobile,CAN,"$25,000,000",Google Play
4/12/2011,2011,ITA Software,Travel technology,Misc,USA,"$676,000,000",Google Flights
4/26/2011,2011,TalkBin,Mobile software,Mobile,USA,,Android
5/23/2011,2011,Sparkbuy,Product search,Offers,USA,,Google Shopping
6/3/2011,2011,PostRank,Social media analytics service,Publishing,CAN,,Google+ Google Analytics
6/9/2011,2011,Admeld,Online advertising,Publishing,USA,"$400,000,000","DoubleClick, Invite Media"
6/18/2011,2011,SageTV,Media center,Mobile,USA,,"Google TV, Google Fiber, Android TV"
7/8/2011,2011,Punchd,Loyalty program,Offers,USA,,Google Offers
7/21/2011,2011,Fridge,Social groups,Social,USA,,Google+
7/23/2011,2011,PittPatt,Facial recognition system,Mobile,USA,,Android
8/1/2011,2011,Dealmap,One deal a day service,Offers,USA,,Google Offers
8/15/2011,2011,Motorola Mobility,Mobile device manufacturer,Mobile,USA,"$12,500,000,000","Android, Google TV, Android TV, Patent portfolio"
9/7/2011,2011,Zave Networks,Digital coupons,Offers,USA,,Google Offers
9/8/2011,2011,Zagat,Restaurant reviews,Maps,USA,"$151,000,000","Google Places, Google Maps"
9/19/2011,2011,DailyDeal,One deal a day service,Offers,GER,"$114,000,000",Google Offers
10/11/2011,2011,SocialGrapple,Social media analytics service,Publishing,CAN,,Google+ Google Analytics
11/10/2011,2011,Apture,Instantaneous search,Search,USA,,Google Search
11/14/2011,2011,Katango,Social circle organization,Social,USA,,Google+
12/9/2011,2011,RightsFlow,Music rights management,Youtube,USA,,YouTube
12/13/2011,2011,Clever Sense,Mobile apps,Mobile,USA,,Android
3/16/2012,2012,"Milk, Inc",Social networking service,Social,USA,,Google+
4/2/2012,2012,TxVia,Online Payment,Misc,USA,,"Google Wallet, Google Checkout"
6/4/2012,2012,Meebo,Instant Messaging,Communication,USA,"$100,000,000",Google Hangouts
6/5/2012,2012,Quickoffice,Productivity Suite,Communication,USA,,Google Docs
7/20/2012,2012,Sparrow,Mobile apps,Communication,FRA,"$25,000,000",Gmail
7/21/2012,2012,WIMM Labs,Android powered smartwatches,Mobile,USA,,Android
8/1/2012,2012,Wildfire Interactive,Social media marketing,Publishing,USA,"$450,000,000","Google, Google+"
