Acquisition_date,year,Google_company,Business,Category,Country,Price,Integrated_with,Continent
5/20/2010,2010,Simplify Media,Music streaming,Mobile,USA,,Android,NorthAmerica
5/21/2010,2010,Ruba.com,Travel,Misc,USA,,iGoogle,NorthAmerica
6/3/2010,2010,Invite Media,Advertising,Publishing,USA,"$81,000,000",DoubleClick,NorthAmerica
7/16/2010,2010,Metaweb,Semantic search,Search,USA,,Google Search,NorthAmerica
8/1/2010,2010,Zetawire,"Mobile payment, NFC",Mobile,CAN,,"Android, Google Wallet, Google Checkout",NorthAmerica
8/4/2010,2010,Instantiations,Java/Eclipse/AJAX developer tools,Misc,USA,,Google Web Toolkit,NorthAmerica
8/5/2010,2010,Slide.com,Social gaming,Social,USA,"$228,000,000","Google+, Orkut, Google Play",NorthAmerica
8/10/2010,2010,Jambool,Social Gold payment,Social,USA,"$70,000,000","Google+, Orkut",NorthAmerica
8/15/2010,2010,Like.com,Visual search engine,Search,USA,"$100,000,000",Google Shopping,NorthAmerica
8/30/2010,2010,Angstro,Social networking service,Social,USA,,"Google, Google Alert",NorthAmerica
8/30/2010,2010,"SocialDeck, Inc.",Social gaming,Social,CAN,,"Google, Google+",NorthAmerica
9/13/2010,2010,Quiksee,Online video,Maps,ISR,"$10,000,000",Google Maps,Asia
9/28/2010,2010,Plannr,Schedule management,Social,USA,,Google+,NorthAmerica
10/1/2010,2010,BlindType,Touch typing,Mobile,GRE,,Android,Euo
12/3/2010,2010,Phonetic Arts,Speech synthesis,AI,UK,,"Google Voice, Google Translate",Euo
12/3/2010,2010,Widevine Technologies,DRM,Misc,USA,,Google TV,NorthAmerica
1/13/2011,2011,eBook Technologies,E-book,Misc,USA,,Google Books,NorthAmerica
1/25/2011,2011,SayNow,Voice recognition,AI,USA,,Google Voice,NorthAmerica
3/1/2011,2011,Zynamics,Security,Security,GER,,Project Zero (Google),Euo
3/7/2011,2011,BeatThatQuote.com,Price comparison service,Offers,UK,"$65,000,000",Google Shopping,Euo
3/7/2011,2011,Next New Networks,Online video,Youtube,USA,,YouTube,NorthAmerica
3/16/2011,2011,Green Parrot Pictures,Digital video,Youtube,IRL,,YouTube,Asia
4/8/2011,2011,PushLife,Service provider,Mobile,CAN,"$25,000,000",Google Play,Euo
4/12/2011,2011,ITA Software,Travel technology,Misc,USA,"$676,000,000",Google Flights,NorthAmerica
4/26/2011,2011,TalkBin,Mobile software,Mobile,USA,,Android,NorthAmerica
5/23/2011,2011,Sparkbuy,Product search,Offers,USA,,Google Shopping,NorthAmerica
6/3/2011,2011,PostRank,Social media analytics service,Publishing,CAN,,Google+ Google Analytics,NorthAmerica
6/9/2011,2011,Admeld,Online advertising,Publishing,USA,"$400,000,000","DoubleClick, Invite Media",NorthAmerica
6/18/2011,2011,SageTV,Media center,Mobile,USA,,"Google TV, Google Fiber, Android TV",NorthAmerica
7/8/2011,2011,Punchd,Loyalty program,Offers,USA,,Google Offers,NorthAmerica
7/21/2011,2011,Fridge,Social groups,Social,USA,,Google+,NorthAmerica
7/23/2011,2011,PittPatt,Facial recognition system,Mobile,USA,,Android,NorthAmerica
8/1/2011,2011,Dealmap,One deal a day service,Offers,USA,,Google Offers,NorthAmerica
8/15/2011,2011,Motorola Mobility,Mobile device manufacturer,Mobile,USA,"$12,500,000,000","Android, Google TV, Android TV, Patent portfolio",NorthAmerica
9/7/2011,2011,Zave Networks,Digital coupons,Offers,USA,,Google Offers,NorthAmerica
9/8/2011,2011,Zagat,Restaurant reviews,Maps,USA,"$151,000,000","Google Places, Google Maps",NorthAmerica
9/19/2011,2011,DailyDeal,One deal a day service,Offers,GER,"$114,000,000",Google Offers,Euo
10/11/2011,2011,SocialGrapple,Social media analytics service,Publishing,CAN,,Google+ Google Analytics,NorthAmerica
11/10/2011,2011,Apture,Instantaneous search,Search,USA,,Google Search,NorthAmerica
11/14/2011,2011,Katango,Social circle organization,Social,USA,,Google+,NorthAmerica
12/9/2011,2011,RightsFlow,Music rights management,Youtube,USA,,YouTube,NorthAmerica
12/13/2011,2011,Clever Sense,Mobile apps,Mobile,USA,,Android,NorthAmerica
3/16/2012,2012,"Milk, Inc",Social networking service,Social,USA,,Google+,NorthAmerica
4/2/2012,2012,TxVia,Online Payment,Misc,USA,,"Google Wallet, Google Checkout",NorthAmerica
6/4/2012,2012,Meebo,Instant Messaging,Communication,USA,"$100,000,000",Google Hangouts,NorthAmerica
6/5/2012,2012,Quickoffice,Productivity Suite,Communication,USA,,Google Docs,NorthAmerica
7/20/2012,2012,Sparrow,Mobile apps,Communication,FRA,"$25,000,000",Gmail,Euo
7/21/2012,2012,WIMM Labs,Android powered smartwatches,Mobile,USA,,Android,NorthAmerica
8/1/2012,2012,Wildfire Interactive,Social media marketing,Publishing,USA,"$450,000,000","Google, Google+",NorthAmerica
9/7/2012,2012,VirusTotal.com,Security,Security,ESP,,,Euo
9/17/2012,2012,"Nik Software, Inc.",Photography,Mobile,USA,,"Google, Android",NorthAmerica
10/1/2012,2012,Viewdle,Facial recognition,Mobile,UKR,"$45,000,000",Android,Euo
11/28/2012,2012,Incentive Targeting Inc.,Digital coupons,Offers,USA,,Google Offers,NorthAmerica
11/30/2012,2012,BufferBox,Package delivery,Mobile,CAN,"$17,000,000","Google Shopping, Android",NorthAmerica
2/6/2013,2013,Channel Intelligence,Product ecommerce,Offers,USA,"$125,000,000",Google Shopping,NorthAmerica
3/12/2013,2013,DNNresearch Inc.,Deep Neural Networks,AI,CAN,,"Google, X",NorthAmerica
3/15/2013,2013,Talaria Technologies,Cloud computing,Cloud,USA,,Google Cloud,NorthAmerica
4/12/2013,2013,Behavio,Social Prediction,AI,USA,,Google Now,NorthAmerica
4/23/2013,2013,Wavii,Natural Language Processing,AI,USA,"$30,000,000",Google Knowledge Graph,NorthAmerica
5/23/2013,2013,Makani Power,Airborne wind turbines,AI,USA,,X,NorthAmerica
6/11/2013,2013,Waze,GPS navigation software,Maps,ISR,"$966,000,000",Google Maps,Asia
9/16/2013,2013,Bump,Mobile software,Mobile,USA,,Google Photos,NorthAmerica
10/2/2013,2013,Flutter,Gesture recognition technology,AI,USA,"$40,000,000","Google, Android, X",NorthAmerica
10/22/2013,2013,FlexyCore,DroidBooster App for Android,Mobile,FRA,"$23,000,000",Android,Euo
12/2/2013,2013,"SCHAFT, Inc.","Robotics, humanoid robots",AI,JPN,,X,Asia
12/3/2013,2013,Industrial Perception,"Robotic arms, computer vision",AI,USA,,X,NorthAmerica
12/4/2013,2013,Redwood Robotics,Robotic arms,AI,USA,,X,NorthAmerica
12/5/2013,2013,Meka Robotics,Robots,AI,USA,,X,NorthAmerica
12/6/2013,2013,Holomni,Robotic wheels,AI,USA,,X,NorthAmerica
12/7/2013,2013,Bot & Dolly,Robotic cameras,AI,USA,,X,NorthAmerica
12/8/2013,2013,Autofuss,Ads and Design,AI,USA,,X,NorthAmerica
12/10/2013,2013,Boston Dynamics,Robotics,AI,USA,,X,NorthAmerica
1/4/2014,2014,Bitspin,Timely App for Android,Mobile,CHE,,Android,Euo
1/13/2014,2014,Nest Labs,Home automation,AI,USA,"$3,200,000,000",Nest Labs,NorthAmerica
1/15/2014,2014,Impermium,Internet security,Security,USA,,Project Zero (Google),NorthAmerica
1/26/2014,2014,DeepMind Technologies,Artificial intelligence,AI,UK,"$625,000,000",Google DeepMind,Euo
2/16/2014,2014,SlickLogin,Internet Security,Security,ISR,,Project Zero (Google),Asia
2/21/2014,2014,spider.io,Anti-click fraud,AI,UK,,"DoubleClick, Adsense",Euo
3/12/2014,2014,GreenThrottle,Gadgets,Mobile,USA,,Android,NorthAmerica
4/14/2014,2014,Titan Aerospace,High-altitude UAVs,Misc,USA,,Project Loon,NorthAmerica
5/2/2014,2014,Rangespan,E-commerce,Offers,UK,,Google Shopping,Euo
5/6/2014,2014,Adometry,Online advertising attribution,Publishing,USA,,Google Analytics AdSense,NorthAmerica
5/7/2014,2014,Appetas,Restaurant website creation,Misc,USA,,Zagat,NorthAmerica
5/7/2014,2014,Stackdriver,Cloud computing,Cloud,USA,,Google Cloud Platform,NorthAmerica
5/7/2014,2014,MyEnergy,Online energy usage monitoring,AI,USA,,Nest Labs,NorthAmerica
5/16/2014,2014,Quest Visual,Augmented reality,AI,USA,,Google Translate,NorthAmerica
5/19/2014,2014,Divide,Mobile device management,Mobile,USA,,Android for Work,NorthAmerica
6/10/2014,2014,Skybox Imaging,Satellite,Maps,USA,"$500,000,000","Google Maps, Project Loon",NorthAmerica
6/19/2014,2014,mDialog,Online advertising,Publishing,CAN,,DoubleClick,NorthAmerica
6/19/2014,2014,Alpental Technologies,Wireless,Misc,USA,,Google,NorthAmerica
6/20/2014,2014,Dropcam,Home monitoring,AI,USA,"$555,000,000",Nest Labs,NorthAmerica
6/25/2014,2014,Appurify,Automated application testing,Mobile,USA,,Android,NorthAmerica
7/1/2014,2014,Songza,Music streaming,Mobile,USA,,"Google Play, Android TV",NorthAmerica
7/23/2014,2014,drawElements,Graphics compatibility testing,Mobile,FIN,,Android,Euo
8/6/2014,2014,Emu,IM client,Communication,USA,,"Google Hangouts, Google Now",NorthAmerica
8/6/2014,2014,Director,Mobile video,Mobile,USA,,"YouTube, Android",NorthAmerica
8/17/2014,2014,Jetpac,"Artificial intelligence, image recognition",AI,USA,,Picasa,NorthAmerica
8/23/2014,2014,Gecko Design,Mechanical design,AI,USA,,X,NorthAmerica
8/26/2014,2014,Zync Render,Cloud-based visual effects software,Cloud,USA,,Google Cloud Platform,NorthAmerica
9/10/2014,2014,Lift Labs,Liftware,AI,USA,,Verily,NorthAmerica
9/11/2014,2014,Polar,Social polling,Social,USA,,Google+,NorthAmerica
10/21/2014,2014,Firebase,Data synchronization,Cloud,USA,,Google Cloud Platform,NorthAmerica
10/23/2014,2014,Dark Blue Labs,Artificial intelligence,AI,UK,,Google DeepMind,Euo
10/24/2014,2014,Revolv,Home automation,AI,USA,,Nest Labs,NorthAmerica
11/19/2014,2014,RelativeWave,Mobile software prototyping,Mobile,USA,,Android,NorthAmerica
12/17/2014,2014,Vidmaker,Video editing,Youtube,USA,,YouTube,NorthAmerica
2/4/2015,2015,Launchpad Toys,Child-friendly apps,Youtube,USA,,YouTube for Kids,NorthAmerica
2/8/2015,2015,Odysee,Multimedia sharing and storage,Social,USA,,Google+,NorthAmerica
2/23/2015,2015,Softcard,Mobile payments,Mobile,USA,,Android Pay,NorthAmerica
2/24/2015,2015,Red Hot Labs,App advertising and discovery,Mobile,USA,,Google Play,NorthAmerica
4/16/2015,2015,Thrive Audio,Surround sound technology,AI,IRE,,Google Cardboard,Euo
4/16/2015,2015,Skillman & Hackett,Virtual reality software,AI,USA,,Tilt Brush,NorthAmerica
5/4/2015,2015,Timeful,Mobile software,Communication,USA,,"Google Inbox, Google Calendar",NorthAmerica
5/28/2015,2015,Pulse.io,Mobile app optimizer,Mobile,USA,,Android,NorthAmerica
7/21/2015,2015,Pixate,Mobile software prototyping,Mobile,USA,,Android,NorthAmerica
9/21/2015,2015,Oyster,E-book subscriptions,Mobile,USA,,Google Play Books,NorthAmerica
9/30/2015,2015,Jibe Mobile,Rich Communication Services,Mobile,USA,,Android,NorthAmerica
6/18/2015,2015,Agawi,Mobile application streaming,Mobile,USA,,"Android, Google Play",NorthAmerica
10/17/2015,2015,Digisfera,360-degree photography,Maps,POR,,Street View,Euo
11/11/2015,2015,Fly Labs,Video editing,Youtube,USA,,Google Photos,NorthAmerica
11/11/2015,2015,bebop,Cloud software,Cloud,USA,"$380,000,000",Google Cloud Platform,NorthAmerica
2/12/2016,2016,BandPage,Artists platform,Youtube,USA,,YouTube,NorthAmerica
2/18/2016,2016,Pie,Enterprise communications,Mobile,SGP,,Spaces (app),Asia
5/2/2016,2016,Synergyse,Interactive tutorials,Communication,CAN,,Google Docs,NorthAmerica
6/22/2016,2016,Webpass,Internet service provider,Misc,USA,,Google Fiber,NorthAmerica
7/6/2016,2016,Moodstocks,Image recognition,AI,FRA,,Google Photos,Euo
7/8/2016,2016,Anvato,Cloud-based video services,Cloud,USA,,Google Cloud Platform,NorthAmerica
7/12/2016,2016,Kifi,Link management,Mobile,USA,,Spaces (app),NorthAmerica
7/27/2016,2016,LaunchKit,Mobile tool maker,Mobile,USA,,Android,NorthAmerica
8/8/2016,2016,Orbitera,Cloud software,Cloud,USA,"$100,000,000",Google Cloud Platform,NorthAmerica
9/8/2016,2016,Apigee,API management and predictive analytics,Cloud,USA,"$625,000,000",Google Cloud Platform,NorthAmerica
9/15/2016,2016,Urban Engines,Location-based analytics,Maps,USA,,Google Maps,NorthAmerica
9/19/2016,2016,API.AI,Natural language processing,AI,USA,,-,NorthAmerica
10/11/2016,2016,FameBit,Branded content,Youtube,-,,YouTube,NorthAmerica
10/24/2016,2016,Eyefluence,"Eye tracking, virtual reality",AI,-,,-,NorthAmerica
12/13/2016,2016,Cronologics,Smartwatches,Mobile,USA,,Android Wear,NorthAmerica
1/5/2017,2017,Limes Audio,Voice communication,Communication,SWE,,"Google Duo, Google Hangouts",Euo
1/19/2017,2017,Fabric,Crash Analytics,AI,USA,,"Google Developer Product Group, Firebase",NorthAmerica
3/8/2017,2017,Kaggle,Data science,AI,USA,,Google Cloud Platform,NorthAmerica
