USA	153
CAN	11
UK	7
GER	5
ISR	4
FRA	3
SWE	3
AUS	2
CHE	2
ESP	2
FIN	2
BRA	1
GRE	1
IRE	1
IRL	1
JPN	1
KOR	1
POR	1
SGP	1
UKR	1
